weibo_id,user_name,publish_time,cleaned_text
5247751215385845,南方周末,Thu Dec 25 14:40:51 +0800 2025,贾国龙说如果能重来坚决不硬刚【沉默100天后，贾国龙首次回应西贝预制菜风波 】 1988年从大学退学，带着5500元创业，贾国龙一路从内蒙古巴彦淖尔市临河县，将西贝开到北京，再到如今全国三百多家门店，2023年营收62亿元。近四十年的创业过程里，贾国龙从未遇上如此汹涌的舆情。采访过程中，他很在意自己的动作和神态会不会被恶意模仿，更在意网络人身攻击。过去三个月，58岁的贾国龙第一次知道了什么叫“老登”。贾国龙说向顾客和员工认错
5247751718965074,蘑菇的二姐,Thu Dec 25 14:42:51 +0800 2025,刚看完贾国龙的专访，说实话觉得这个57岁的“老登”也不容易。连续40天靠安眠药才能睡着，每天处理不完的事，第一次知道自己被叫&quot;老登&quot;，也坦诚自己之前有点骄傲。这些细节太真实了，一个完全没有网感的老派企业家，在面对网络舆论冲击措手不及的样子，活生生地展现在我们面前。 看了下西贝在认真调改。降价是实打实的，客单价从95到75，这不是做样子。给员工涨薪，每个店增加10个欢乐使者，人力成本主动增加5个点。后厨装透明玻璃，政府来检查80多次零处罚，食品安全这块不掉链子。这是对品质和服务的坚守，和现在餐饮行业“降本增效“是完全不同的思路。 最打动我的是他在南方周末采访里说的那句&quot;我认错，向顾客认错，向员工认错，也向自己认错&quot;。一个快60岁的人，能这么深刻地反思真诚承认错误，这并不容易。 谁都有犯错的时候，谁都想有改错的机会，还是希望西贝能有更好地的发展。 贾国龙反思贾国龙向顾客和员工认错
5247752466334864,宏康010,Thu Dec 25 14:45:49 +0800 2025,西贝预制菜风波100天后贾国龙现状贾国龙非得跟罗永浩硬刚，最后自己得吃安眠药入睡，你看人家罗永浩，项立刚连着打，他就是不回应，忙着开“科技春晚”去了。
5247753148173032,余丰慧,Thu Dec 25 14:48:32 +0800 2025,当企业被规模扩张的野心裹挟，忽视消费者的核心诉求，再辉煌的商业帝国生成也可能在舆论风暴中摇摇欲坠。 预制菜风波后贾国龙靠吃安眠药入睡西贝预制菜风波：傲慢的代价，品牌信任的崩盘 贾国龙的40天安眠药依赖，是西贝品牌信任崩塌的生动注脚。从经济学视角看，这场危机本质是品牌价值与消费者信任的严重背离。 西贝长期以&quot;匠心现制&quot;塑造高端定位，收取溢价，这本质是消费者为&quot;品质体验&quot;支付的信任对价。但当品牌用预制菜的成本，卖出现制菜的价格，形成&quot;价值错配&quot;，直接触发了消费者的信任反噬。 更致命的是，贾国龙的&quot;硬刚&quot;公关，违背了市场交易的&quot;诚信原则&quot;，将品牌置于消费者对立面。从日均损失百万营收，到闭店止损、疯狂促销，西贝陷入&quot;成本攀升-价格击穿-信任流失&quot;的恶性循环。 这场风波证明，餐饮品牌的核心资产永远是消费者信任。当企业被规模扩张的野心裹挟，忽视消费者的核心诉求，再辉煌的商业帝国生成也可能在舆论风暴中摇摇欲坠。贾国龙的认错，是迟到的醒悟，但重建被透支的品牌信任，绝非一句道歉就能完成。 西贝预制菜风波100天后贾国龙现状
5247753303362488,满分少女这只魚,Thu Dec 25 14:49:09 +0800 2025,预制菜风波后贾国龙靠吃安眠药入睡2025年9月，罗永浩公开质疑西贝使用预制菜且价格虚高，引发品牌危机。贾国龙称此次风波是西贝成立37年来&quot;最大外部危机&quot;，导致他连续40天依赖安眠药助眠，且每日需处理大量突发事务，身心承受巨大压力。 预制菜风波后贾国龙靠吃安眠药入睡
5247753316734868,用户7483494847,Thu Dec 25 14:49:12 +0800 2025,西贝预制菜风波100天后贾国龙现状他真的少说话吧！这个采访还是他委屈的要死的感觉。
5247753354740873,科技猩球,Thu Dec 25 14:49:21 +0800 2025,【西贝预制菜风波100天后贾国龙现状】预制菜风波后贾国龙靠吃安眠药入睡2025年12月21日，冬至当天，南方周末记者在西贝北京研发中心见到了贾国龙。距离他上一次公开发声，整整过去了100天。 贾国龙称骄傲让他对很多事产生误判 这位西贝创始人说，自己连续40天靠吃安眠药入睡，每天有“处理不完的事”，憋了一肚子的心里话。 9月10日，罗永浩一条质疑西贝使用预制菜的微博登上热搜。9月11日，贾国龙回应称“西贝没有一道预制菜”，并于次日向社会开放西贝门店后厨参观。 9月12日，贾国龙接受媒体采访，承认事件对西贝造成重大冲击，日营业额损失超百万元。此后，面对“1岁宝宝2岁西兰花”“温情公关”等更多争议，贾国龙选择了沉默。 9月15日，西贝官方平台发布致歉信，宣布“尽可能把中央厨房前置加工工艺调整到门店现场加工”“在保证食品安全和库存周转的前提下，尽量缩短保质期”。 1988年从大学退学，带着5500元创业，贾国龙一路从内蒙古巴彦淖尔市临河县，将西贝开到北京，再到如今全国三百多家门店，2023年营收62亿元。 近四十年的创业过程里，贾国龙从未遇上如此汹涌的舆情。采访过程中，他很在意自己的动作和神态会不会被恶意模仿，更在意网络人身攻击。 他说，“贾国龙所有问题都可以归结到两个字——骄傲”。骄傲让他对很多事情产生误判，从投入5亿元、折腾8年执意做快餐，到选择和罗永浩正面“硬刚”。但也一如既往，贾国龙不耻于举手投降：“我认错，我向顾客认错，我向员工认错，也向我自己认错。”（南方周末）
5247753552923672,天冷要御寒k,Thu Dec 25 14:50:08 +0800 2025,西贝预制菜风波100天后贾国龙现状在经历预制菜舆论风暴100天后，西贝创始人贾国龙首次打破沉默，以连续40天依赖安眠药入睡的憔悴状态直面公众，坦言“骄傲导致误判”，并向顾客、员工及自己道歉。 西贝预制菜风波100天后贾国龙现状
5247753555807516,铁骥视频科技频道,Thu Dec 25 14:50:09 +0800 2025,【贾国龙称西贝倒闭就回草原养羊，贾国龙称起诉罗永浩是错的】12月25日，西贝创始人贾国龙接受媒体采访时表示，自己连续40天靠吃安眠药入睡，憋了一肚子的心里话。过去三个月，58岁的贾国龙第一次知道了什么叫“老登”。贾国龙承认错误:第一个错误是选择正面硬刚，说我宁愿不做生意，也要辨明是非，一定要起诉罗永浩；第二个错误是开放厨房；第三个错误是我在一个微信群聊里发言，回应同行关心，用了“网络黑社会”的说法。 贾国龙称:“假如西贝活不下来，我绝对不会再创业了，和夫人回草原养羊，日子还得过。现在我们的客单价是75元左右，较之前降了20%，已降价的菜品不会再涨价，是长期的。” 9月10日， 一条质疑西贝使用预制菜的微博登上热搜。9月11日，贾国龙回应称“西贝没有一道预制菜”，并于次日向社会开放西贝门店后厨参观。
5247753688974786,我不是J我是Joker,Thu Dec 25 14:50:41 +0800 2025,西贝预制菜风波100天后贾国龙现状推动预制菜立法了吗？ 西贝预制菜风波100天后贾国龙现状
5247753698937842,时光一笔,Thu Dec 25 14:50:43 +0800 2025,西贝预制菜风波100天后贾国龙现状肯定好不到哪里去
5247753739569896,津云新闻,Thu Dec 25 14:50:53 +0800 2025,西贝预制菜风波100天后贾国龙现状预制菜风波后贾国龙靠吃安眠药入睡9月10日，罗永浩一条质疑西贝使用预制菜的微博登上热搜。9月11日，贾国龙回应称“西贝没有一道预制菜”，并于次日向社会开放西贝门店后厨参观。9月12日，贾国龙接受媒体采访，承认事件对西贝造成重大冲击，日营业额损失超百万元。此后，面对“1岁宝宝2岁西兰花”“温情公关”等更多争议，贾国龙选择了沉默。9月15日，西贝官方平台发布致歉信，宣布“尽可能把中央厨房前置加工工艺调整到门店现场加工”“在保证食品安全和库存周转的前提下，尽量缩短保质期”。（极目新闻）
5247753774698747,方成说进口车,Thu Dec 25 14:51:01 +0800 2025,西贝预制菜风波100天后贾国龙现状调整产品品质、降价、给员工涨薪……事实证明真诚才是必杀技…学到了 方成说进口车的微博视频
